trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9980019986673331}",20,0,-39.94513440895997,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,0,-125.1483013451365,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9940179640539353}",30,0,-175.93801348606044,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-39.70278818293529,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-143.57929788291295,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,13,-62.12580341721122,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.002, 'e': 0.9860975442628619}",30,0,-159.46538830612343,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,4,-36.58595238328908,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.002, 'e': 0.9821610323583008}",25,0,-168.28064220914294,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-109.31409668578769,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.97824023505121}",20,4,-61.2817252725261,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
12,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-96.17492236799694,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-119.4917195992595,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-135.76852995854085,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-146.714529638668,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.002, 'e': 0.9685065820791976}",30,0,-76.51712942010546,"{0: 18, 1: 6, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.9665715046375066}",30,22,0.6521063385392151,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.002, 'e': 0.9646402934831231}",30,0,-172.72950214168262,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,0,-65.14655435309352,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.002, 'e': 0.9607894391523232}",25,0,-157.74944479696336,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
21,False,"{'a': 0.002, 'e': 0.9588697805724845}",25,0,-194.48158482432493,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
22,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,2,-57.53213647488656,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
23,False,"{'a': 0.002, 'e': 0.9550419621907147}",30,0,-148.61377554512137,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
24,False,"{'a': 0.002, 'e': 0.9531337870775047}",20,0,-66.71804287588726,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-26.936346986826457,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.002, 'e': 0.9493288668428895}",20,0,-109.262276969885,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-121.62705561652301,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9455391358903963}",20,0,-20.027381615235203,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
29,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,-27.570496960210182,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
30,False,"{'a': 0.002, 'e': 0.9417645335842487}",25,12,-49.24842651459133,"{0: 5, 1: 4, 2: 4, 3: 0, 4: 0}",1
