trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.16911944131073,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.36929303987698,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.0593021110243,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-196.51546262104006,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.77391914196426,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.17745709891886,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,12,-60.580702451141974,"{0: 5, 1: 4, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.28326422943104,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.30304072334722,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.599908760796026,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.7541388063811,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.21782959886613,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.45149703110346,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.6971024404604,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-218.16472532189658,"{0: 14, 1: 6, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.519507178922765,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-151.08830202298498,"{0: 20, 1: 6, 2: 6, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.10238707827108,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.54112952253985,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.64256893945802,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.31145911728584,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.64015316559788,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-195.32370183465488,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,14,-24.598191962653708,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.0652394725881,"{0: 12, 1: 3, 2: 6, 3: 4, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.66717973600889,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.88291933534006,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.53226712485869,"{0: 11, 1: 6, 2: 0, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-191.5463635951434,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,3,-9.406878393660124,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
